datetime,text_length,user_verified,sadness,joy,love,anger,fear,surprise,num_tweets
2017-01-02 00:00:00+00:00,105.0,0.0,0.016509655164554715,0.8999033421278,0.0029279247974045575,0.053159196861088276,0.025477327406406403,0.0020226064370945096,4
2017-01-03 00:00:00+00:00,109.0,0.0,0.028126822008440893,0.747003565231959,0.005363967657710115,0.15794382616877556,0.05725636829932531,0.0043054728691155715,6
2017-01-04 00:00:00+00:00,107.5,0.0,0.014577142894268036,0.7061497097214063,0.0033355695583547154,0.198111642152071,0.07504463475197552,0.002781303832307458,6
2017-01-05 00:00:00+00:00,109.5,0.0,0.03528929362073541,0.6044316217303276,0.005034972098655999,0.26252900436520576,0.08855212945491076,0.004162963421549648,4
2017-01-06 00:00:00+00:00,124.0,0.2,0.027638667449355125,0.5815198957920075,0.005073904152959585,0.29489426463842394,0.08672808855772018,0.004145200224593281,5
2017-01-07 00:00:00+00:00,85.0,0.0,0.0154316034168005,0.8125870227813721,0.00330231711268425,0.06577206403017044,0.0998932123184204,0.003013768931850791,1
2017-01-08 00:00:00+00:00,117.0,0.0,0.03292139805853367,0.3786544054746627,0.004611741052940488,0.44944871962070465,0.13088806346058846,0.003475642530247569,2
2017-01-09 00:00:00+00:00,96.0,0.0,0.033391451463103294,0.44215933978557587,0.0050404323264956466,0.4330949932336807,0.0838511660695076,0.002462596632540226,2
2017-01-10 00:00:00+00:00,85.0,0.0,0.0154316034168005,0.8125870227813721,0.00330231711268425,0.06577206403017044,0.0998932123184204,0.003013768931850791,1
2017-01-11 00:00:00+00:00,104.22222222222223,0.1111111111111111,0.07487113318509525,0.4253849486509959,0.004787424242951804,0.4088677700815929,0.08316471939906478,0.002923965053115454,9
2017-01-12 00:00:00+00:00,106.0,0.0,0.021928608417510986,0.6995249688625336,0.004867577692493796,0.1459694802761078,0.12495137099176647,0.002757938986178487,2
2017-01-13 00:00:00+00:00,118.0,0.0,0.01446258214612802,0.9114679098129272,0.0028322803943107524,0.03603982552886009,0.0328996405005455,0.002297737946112951,3
2017-01-14 00:00:00+00:00,,,,,,,,,0
2017-01-15 00:00:00+00:00,138.0,0.0,0.027731167152524,0.3906307518482208,0.004698547534644604,0.4288026392459869,0.14381815493106842,0.0043188189156353465,1
2017-01-16 00:00:00+00:00,,,,,,,,,0
2017-01-17 00:00:00+00:00,,,,,,,,,0
2017-01-18 00:00:00+00:00,76.0,0.0,0.9763157963752748,0.007767538540065288,0.0008869653102010489,0.01085168682038784,0.0035692413803189993,0.0006086606299504638,1
2017-01-19 00:00:00+00:00,93.0,0.0,0.016756928525865078,0.8560242056846619,0.004604869754984975,0.08263083174824715,0.03737606294453144,0.002607135917060077,2
2017-01-20 00:00:00+00:00,94.2,0.0,0.02750333808362484,0.8628303170204162,0.006082307174801826,0.06139159351587296,0.03887991532683373,0.0033125536516308784,5
2017-01-21 00:00:00+00:00,92.0,0.0,0.021972617600113153,0.8100065290927887,0.003829164896160364,0.07742688432335854,0.08299669623374939,0.0037681246176362038,2
2017-01-22 00:00:00+00:00,133.0,0.0,0.023948820307850838,0.4035426527261734,0.004836098989471793,0.4150893539190292,0.14915335178375244,0.0034297168022021643,2
2017-01-23 00:00:00+00:00,111.0,0.0,0.014944138005375862,0.9092792868614196,0.003232930786907673,0.04962849989533424,0.021799061447381973,0.0011160345748066902,1
2017-01-24 00:00:00+00:00,,,,,,,,,0
2017-01-25 00:00:00+00:00,,,,,,,,,0
2017-01-26 00:00:00+00:00,,,,,,,,,0
2017-01-27 00:00:00+00:00,,,,,,,,,0
2017-01-28 00:00:00+00:00,,,,,,,,,0
2017-01-29 00:00:00+00:00,140.0,0.0,0.022966442629694942,0.2847788631916046,0.004766522441059351,0.4773041009902954,0.20628587901592246,0.003898151218891144,1
2017-01-30 00:00:00+00:00,,,,,,,,,0
2017-01-31 00:00:00+00:00,98.0,0.0,0.016266188584268093,0.8363660573959351,0.0038813434075564146,0.07845417782664299,0.06261302437633276,0.0024192023556679487,2
2017-02-01 00:00:00+00:00,106.33333333333333,0.0,0.05270252920066317,0.7243141399489509,0.0046429617796093225,0.1496554756951001,0.0657289448297686,0.0029559503180078333,9
2017-02-02 00:00:00+00:00,108.0,0.0,0.10995057970285416,0.7247048020362854,0.009550341404974459,0.09503739327192308,0.05407562479376793,0.006681161466985941,1
2017-02-03 00:00:00+00:00,,,,,,,,,0
2017-02-04 00:00:00+00:00,120.66666666666667,0.0,0.034130255381266274,0.30188369782020646,0.0036187405542780957,0.528547327965498,0.12920256440217295,0.0026174201824081442,6
2017-02-05 00:00:00+00:00,139.0,0.0,0.027857640758156776,0.2968084514141083,0.004840885289013386,0.4463475346565247,0.2199096232652664,0.004235873464494944,1
2017-02-06 00:00:00+00:00,105.0,0.0,0.019308239221572883,0.8758354187011719,0.006315725389868021,0.057875800877809525,0.038567837327718735,0.002097038086503744,1
2017-02-07 00:00:00+00:00,,,,,,,,,0
2017-02-08 00:00:00+00:00,134.0,0.0,0.46114659681916237,0.26293903961777687,0.003953127772547305,0.20071065053343773,0.06827390380203724,0.0029767355881631374,2
2017-02-09 00:00:00+00:00,113.25,0.0,0.04049880336970091,0.49133822321891785,0.0048807084094733,0.3437164518982172,0.11531961150467396,0.0042461923439987,4
2017-02-10 00:00:00+00:00,98.0,0.0,0.018669864162802696,0.4613265693187714,0.0056952754966914645,0.4319716989994049,0.0791555717587471,0.0031809895299375053,1
2017-02-11 00:00:00+00:00,83.0,0.0,0.09425985179841519,0.4181937426328659,0.005050640366971493,0.3652001336216927,0.11409119069576264,0.003204424539580941,5
2017-02-12 00:00:00+00:00,98.0,0.0,0.025059524923563004,0.697883814573288,0.006166907725855708,0.196639996021986,0.07102017663419245,0.003229541936889291,2
2017-02-13 00:00:00+00:00,62.0,0.0,0.019339056685566902,0.6733331084251404,0.006357886362820864,0.20734190940856934,0.08806797116994858,0.005560019984841347,1
2017-02-14 00:00:00+00:00,112.64285714285714,0.0,0.06597826137606587,0.533949654017176,0.004906407590689403,0.28147413368735996,0.10989876477313894,0.003792769882628428,14
2017-02-15 00:00:00+00:00,112.0,0.0,0.011278427904471755,0.8867655694484711,0.0026182401925325394,0.03709712577983737,0.06015519052743911,0.002085448650177568,2
2017-02-16 00:00:00+00:00,,,,,,,,,0
2017-02-17 00:00:00+00:00,138.1,0.0,0.032049530744552614,0.8095605671405792,0.004207962634973228,0.0906134344637394,0.06067916788160801,0.0028893104754388332,10
2017-02-18 00:00:00+00:00,,,,,,,,,0
2017-02-19 00:00:00+00:00,134.0,0.0,0.030376890674233437,0.405162125825882,0.004842625930905342,0.4401841461658478,0.115898996591568,0.0035352220293134455,1
2017-02-20 00:00:00+00:00,138.0,0.0,0.21311939507722855,0.5225492566823959,0.0061428670305758715,0.15728876739740372,0.0977567695081234,0.00314297154545784,2
2017-02-21 00:00:00+00:00,,,,,,,,,0
2017-02-22 00:00:00+00:00,127.0,0.0,0.3341670632362366,0.11871185898780826,0.0030508681666105986,0.5083871483802795,0.03302173689007759,0.0026612963993102308,1
2017-02-23 00:00:00+00:00,,,,,,,,,0
2017-02-24 00:00:00+00:00,107.0,0.0,0.01754146919120103,0.8796755373477936,0.0035202002618461847,0.06003506388515234,0.0367962634190917,0.0024315160408150405,4
2017-02-25 00:00:00+00:00,92.5,0.0,0.06331059196963906,0.6663824394345284,0.00508544516924303,0.1942055047256872,0.06776720957714133,0.0032487464923178777,4
2017-02-26 00:00:00+00:00,105.0,0.0,0.050704670449097954,0.660201778014501,0.006526570611943801,0.17817522337039313,0.10026756674051285,0.004124196556707223,3
2017-02-27 00:00:00+00:00,,,,,,,,,0
2017-02-28 00:00:00+00:00,92.0,0.0,0.005831646034494042,0.48886639159172773,0.0021188228856772184,0.019349140115082264,0.2590551730245352,0.22477882681414488,2
2017-03-01 00:00:00+00:00,,,,,,,,,0
2017-03-02 00:00:00+00:00,66.5,0.0,0.020223419065587226,0.6870148802796999,0.003190376543595145,0.12431031240460773,0.1021686972041304,0.06309229899973919,6
2017-03-03 00:00:00+00:00,107.33333333333333,0.0,0.09501668624579906,0.7264853119850159,0.009010573538641134,0.10342173650860786,0.06082283581296603,0.005242877096558611,3
2017-03-04 00:00:00+00:00,164.0,0.0,0.05978285148739815,0.3645985722541809,0.006159921642392875,0.4921949207782746,0.07304438948631288,0.00421942351385951,1
2017-03-05 00:00:00+00:00,137.0,0.0,0.032517578452825546,0.370644360780716,0.004748753271996975,0.4199275970458984,0.16791877150535586,0.004243005532771349,1
2017-03-06 00:00:00+00:00,90.0,0.0,0.027220522984862328,0.6044747829437256,0.004599592726056774,0.2712128311395645,0.08986224234104156,0.0026299922804658613,3
2017-03-07 00:00:00+00:00,105.11111111111111,0.0,0.1500997059047222,0.6999504470861413,0.004042665315662614,0.10387995629571378,0.03969096556668066,0.0023362818077051393,9
2017-03-08 00:00:00+00:00,111.27777777777777,0.05555555555555555,0.039129639970875964,0.6010946523812082,0.005305902710663051,0.24480526917128978,0.1063435497069602,0.0033209845569217578,18
2017-03-09 00:00:00+00:00,101.83561643835617,0.0684931506849315,0.06983117588751069,0.6237093365228136,0.004041320401920031,0.20234492668971318,0.09720889476689268,0.002864339487780243,73
2017-03-10 00:00:00+00:00,112.57142857142857,0.0,0.0282614846780364,0.7923576065472194,0.0031869768239890356,0.1044276060170627,0.06984648367090683,0.0019198525156493165,14
2017-03-11 00:00:00+00:00,100.0,0.0,0.08123034407617524,0.6211175781209022,0.004704707389464602,0.24102866440080106,0.04948585061356425,0.00243285768374335,8
2017-03-12 00:00:00+00:00,98.44444444444444,0.0,0.04081300045881006,0.5417643288771311,0.006448740346564187,0.3040023065275616,0.10417580418288708,0.0027958418423723844,9
2017-03-13 00:00:00+00:00,140.0,0.0,0.030702197924256325,0.3880351185798645,0.004715369548648596,0.3992995917797089,0.17262794077396393,0.0046197581104934216,1
2017-03-14 00:00:00+00:00,97.0909090909091,0.0,0.12023776989768852,0.46243621231141413,0.0052997041599486365,0.305374376475811,0.10335238184779882,0.0032995427556505256,11
2017-03-15 00:00:00+00:00,101.0,0.0,0.017461545144518215,0.8733486731847128,0.00585993363832434,0.06973951309919357,0.03178658274312814,0.001803798833861947,3
2017-03-16 00:00:00+00:00,102.0,0.0,0.021155628375709057,0.7540641029675802,0.004472347364450495,0.14966070341567198,0.06786091718822718,0.002786301639086256,3
2017-03-17 00:00:00+00:00,122.5,0.0,0.03819683752954006,0.6913213133811951,0.005307809216901661,0.2115396410226822,0.050449641421437263,0.003184783970937133,2
2017-03-18 00:00:00+00:00,94.875,0.0,0.04288807755801827,0.7377922460436821,0.0060858456417918205,0.15589483547955751,0.05374493286944926,0.0035940746020060033,8
2017-03-19 00:00:00+00:00,137.0,0.0,0.03495626151561737,0.5714011192321777,0.004377839155495167,0.28329938650131226,0.1027430072426796,0.003222377737984061,1
2017-03-20 00:00:00+00:00,85.0,0.0,0.09429730102419853,0.26200172305107117,0.008158293087035418,0.47369296848773956,0.15883278846740723,0.003016927745193243,2
2017-03-21 00:00:00+00:00,118.5,0.0,0.034224020317196846,0.7426351308822632,0.005236317869275808,0.17714525014162066,0.03789049480110407,0.00286879506893456,2
2017-03-22 00:00:00+00:00,99.16666666666667,0.0,0.04345295997336507,0.7441084881623586,0.0058062948907415075,0.15879875794053078,0.04443942134579023,0.003394052851945162,6
2017-03-23 00:00:00+00:00,107.66666666666667,0.0,0.26323584622393054,0.506017138560613,0.004494753588611881,0.1842227652668953,0.038668472319841385,0.0033609987779830894,3
2017-03-24 00:00:00+00:00,102.8,0.2,0.02928751762956381,0.48274961188435556,0.01785040693357587,0.4250207766890526,0.04190675085410476,0.003184920665808022,5
2017-03-25 00:00:00+00:00,105.33333333333333,0.0,0.1820939021805922,0.5623157251005372,0.0049941181593264146,0.1860224138945341,0.06106777733657509,0.0035060481944431867,6
2017-03-26 00:00:00+00:00,89.28571428571429,0.0,0.026835065867219652,0.7403706610202789,0.005330735784290093,0.1713957390082734,0.05365358040268932,0.0024142434122040868,14
2017-03-27 00:00:00+00:00,120.0,0.0,0.015800807625055313,0.8519086241722107,0.003100123489275575,0.056560367345809937,0.0695565864443779,0.003073505591601133,1
2017-03-28 00:00:00+00:00,114.0,0.0,0.0976639837026596,0.4497884213924408,0.0044805770739913,0.4138546586036682,0.031510025262832635,0.0027022894937545057,1
2017-03-29 00:00:00+00:00,105.375,0.0,0.08234429429285228,0.44281331449747086,0.00464875137549825,0.3996308259665966,0.06720560044050217,0.0033572166285011917,8
2017-03-30 00:00:00+00:00,128.75,0.0,0.05798308306839317,0.7445639669895172,0.00489226751960814,0.11671733669936657,0.07147604320198298,0.004367293469840661,4
2017-03-31 00:00:00+00:00,,,,,,,,,0
2017-04-01 00:00:00+00:00,90.0,0.0,0.02482021227478981,0.837068572640419,0.004100779595319182,0.08290476817637682,0.048454028787091374,0.0026516407378949225,4
2017-04-02 00:00:00+00:00,96.66666666666667,0.0,0.03361265081912279,0.8190344572067261,0.005371845792979002,0.09060182857016723,0.04834885150194168,0.003030407514112691,3
2017-04-03 00:00:00+00:00,99.75,0.0,0.04467469314113259,0.717335969209671,0.006357227568514645,0.16069568879902363,0.06788982078433037,0.0030465908639598638,4
